ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4,TEDTALK829,PGN.TXT,0.00625,0.00204,0.00308,1
ROUGE-L,TEDTALK821,PGN.TXT,0.08511,0.19048,0.11765,1
ROUGE-1,TEDTALK821,PGN.TXT,0.09259,0.06579,0.07692,1
ROUGE-2,TEDTALK821,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK821,PGN.TXT,0.02083,0.01515,0.01754,1
ROUGE-L,TEDTALK822,PGN.TXT,0.04444,0.08000,0.05714,1
ROUGE-1,TEDTALK822,PGN.TXT,0.04167,0.01852,0.02564,1
ROUGE-2,TEDTALK822,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK822,PGN.TXT,0.00909,0.00426,0.00580,1
ROUGE-L,TEDTALK823,PGN.TXT,0.11905,0.09434,0.10526,1
ROUGE-1,TEDTALK823,PGN.TXT,0.18000,0.06818,0.09890,1
ROUGE-2,TEDTALK823,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK823,PGN.TXT,0.04783,0.01803,0.02619,1
ROUGE-L,TEDTALK824,PGN.TXT,0.11111,0.15625,0.12987,1
ROUGE-1,TEDTALK824,PGN.TXT,0.23636,0.13265,0.16993,1
ROUGE-2,TEDTALK824,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK824,PGN.TXT,0.05306,0.02955,0.03796,1
ROUGE-L,TEDTALK825,PGN.TXT,0.11111,0.09302,0.10127,1
ROUGE-1,TEDTALK825,PGN.TXT,0.14286,0.06250,0.08696,1
ROUGE-2,TEDTALK825,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK825,PGN.TXT,0.03889,0.01628,0.02295,1
ROUGE-L,TEDTALK826,PGN.TXT,0.13514,0.17857,0.15385,1
ROUGE-1,TEDTALK826,PGN.TXT,0.14634,0.08824,0.11009,1
ROUGE-2,TEDTALK826,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK826,PGN.TXT,0.04865,0.02903,0.03636,1
ROUGE-L,TEDTALK827,PGN.TXT,0.04255,0.08000,0.05556,1
ROUGE-1,TEDTALK827,PGN.TXT,0.05660,0.03947,0.04651,1
ROUGE-2,TEDTALK827,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK827,PGN.TXT,0.01333,0.00909,0.01081,1
ROUGE-L,TEDTALK828,PGN.TXT,0.08571,0.21429,0.12245,1
ROUGE-1,TEDTALK828,PGN.TXT,0.16667,0.07143,0.10000,1
ROUGE-2,TEDTALK828,PGN.TXT,0.02174,0.00935,0.01307,1
ROUGE-SU4,TEDTALK828,PGN.TXT,0.04091,0.01765,0.02466,1
ROUGE-L,TEDTALK820,PGN.TXT,0.06977,0.10000,0.08219,1
ROUGE-1,TEDTALK820,PGN.TXT,0.14000,0.07143,0.09459,1
ROUGE-2,TEDTALK820,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK820,PGN.TXT,0.03043,0.01591,0.02090,1
ROUGE-L,TEDTALK818,PGN.TXT,0.10714,0.09375,0.10000,1
ROUGE-1,TEDTALK818,PGN.TXT,0.13333,0.04878,0.07143,1
ROUGE-2,TEDTALK818,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK818,PGN.TXT,0.02857,0.01053,0.01538,1
ROUGE-L,TEDTALK819,PGN.TXT,0.07500,0.12000,0.09231,1
ROUGE-1,TEDTALK819,PGN.TXT,0.06818,0.03571,0.04687,1
ROUGE-2,TEDTALK819,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK819,PGN.TXT,0.01579,0.00811,0.01071,1
ROUGE-L,TEDTALK854,PGN.TXT,0.07463,0.09804,0.08475,1
ROUGE-1,TEDTALK854,PGN.TXT,0.18072,0.08065,0.11152,1
ROUGE-2,TEDTALK854,PGN.TXT,0.01250,0.00552,0.00766,1
ROUGE-SU4,TEDTALK854,PGN.TXT,0.04675,0.02045,0.02846,1
ROUGE-L,TEDTALK1101,PGN.TXT,0.14706,0.13889,0.14286,1
