ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TEDTALK1965,TEXTRANK.TXT,0.14286,0.07216,0.09589,1
ROUGE-1,TEDTALK1965,TEXTRANK.TXT,0.22807,0.10000,0.13904,1
ROUGE-2,TEDTALK1965,TEXTRANK.TXT,0.01852,0.00781,0.01099,1
ROUGE-SU4,TEDTALK1965,TEXTRANK.TXT,0.06275,0.02540,0.03616,1
ROUGE-L,TEDTALK1968,TEXTRANK.TXT,0.16981,0.13636,0.15126,1
ROUGE-1,TEDTALK1968,TEXTRANK.TXT,0.30882,0.22826,0.26250,1
ROUGE-2,TEDTALK1968,TEXTRANK.TXT,0.01587,0.01099,0.01299,1
ROUGE-SU4,TEDTALK1968,TEXTRANK.TXT,0.09215,0.06000,0.07268,1
ROUGE-L,TEDTALK1967,TEXTRANK.TXT,0.21053,0.15190,0.17647,1
ROUGE-1,TEDTALK1967,TEXTRANK.TXT,0.28205,0.17054,0.21256,1
ROUGE-2,TEDTALK1967,TEXTRANK.TXT,0.05405,0.03150,0.03980,1
ROUGE-SU4,TEDTALK1967,TEXTRANK.TXT,0.09714,0.05440,0.06974,1
ROUGE-L,TEDTALK1969,TEXTRANK.TXT,0.13636,0.13433,0.13534,1
ROUGE-1,TEDTALK1969,TEXTRANK.TXT,0.20000,0.20238,0.20118,1
ROUGE-2,TEDTALK1969,TEXTRANK.TXT,0.02532,0.02439,0.02484,1
ROUGE-SU4,TEDTALK1969,TEXTRANK.TXT,0.05753,0.05250,0.05490,1
ROUGE-L,TEDTALK1951,TEXTRANK.TXT,0.15789,0.15789,0.15789,1
ROUGE-1,TEDTALK1951,TEXTRANK.TXT,0.21918,0.22535,0.22222,1
ROUGE-2,TEDTALK1951,TEXTRANK.TXT,0.01449,0.01429,0.01439,1
ROUGE-SU4,TEDTALK1951,TEXTRANK.TXT,0.05538,0.05217,0.05373,1
ROUGE-L,TEDTALK1950,TEXTRANK.TXT,0.07273,0.05128,0.06015,1
ROUGE-1,TEDTALK1950,TEXTRANK.TXT,0.26087,0.12766,0.17143,1
ROUGE-2,TEDTALK1950,TEXTRANK.TXT,0.04545,0.02143,0.02913,1
ROUGE-SU4,TEDTALK1950,TEXTRANK.TXT,0.08571,0.03885,0.05347,1
ROUGE-L,TEDTALK1953,TEXTRANK.TXT,0.13043,0.10714,0.11765,1
ROUGE-1,TEDTALK1953,TEXTRANK.TXT,0.24561,0.17949,0.20741,1
ROUGE-2,TEDTALK1953,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1953,TEXTRANK.TXT,0.06275,0.04211,0.05039,1
ROUGE-L,TEDTALK1952,TEXTRANK.TXT,0.11111,0.04598,0.06504,1
ROUGE-1,TEDTALK1952,TEXTRANK.TXT,0.20000,0.06299,0.09581,1
ROUGE-2,TEDTALK1952,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1952,TEXTRANK.TXT,0.06667,0.01951,0.03019,1
ROUGE-L,TEDTALK1955,TEXTRANK.TXT,0.20588,0.07778,0.11290,1
ROUGE-1,TEDTALK1955,TEXTRANK.TXT,0.31579,0.10345,0.15584,1
ROUGE-2,TEDTALK1955,TEXTRANK.TXT,0.02857,0.00877,0.01342,1
ROUGE-SU4,TEDTALK1955,TEXTRANK.TXT,0.08750,0.02500,0.03889,1
ROUGE-L,TEDTALK1954,TEXTRANK.TXT,0.11905,0.07042,0.08850,1
ROUGE-1,TEDTALK1954,TEXTRANK.TXT,0.22000,0.09167,0.12941,1
ROUGE-2,TEDTALK1954,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1954,TEXTRANK.TXT,0.05652,0.02203,0.03171,1
ROUGE-L,TEDTALK1957,TEXTRANK.TXT,0.15789,0.09677,0.12000,1
ROUGE-1,TEDTALK1957,TEXTRANK.TXT,0.28571,0.14433,0.19178,1
ROUGE-2,TEDTALK1957,TEXTRANK.TXT,0.04255,0.02105,0.02817,1
ROUGE-SU4,TEDTALK1957,TEXTRANK.TXT,0.11556,0.05591,0.07536,1
ROUGE-L,TEDTALK1956,TEXTRANK.TXT,0.20000,0.13415,0.16058,1
ROUGE-1,TEDTALK1956,TEXTRANK.TXT,0.36364,0.18321,0.24365,1
ROUGE-2,TEDTALK1956,TEXTRANK.TXT,0.04839,0.02344,0.03158,1
ROUGE-SU4,TEDTALK1956,TEXTRANK.TXT,0.10690,0.04960,0.06776,1
ROUGE-L,TEDTALK1959,TEXTRANK.TXT,0.23404,0.18033,0.20370,1
ROUGE-1,TEDTALK1959,TEXTRANK.TXT,0.27273,0.14563,0.18987,1
ROUGE-2,TEDTALK1959,TEXTRANK.TXT,0.01923,0.01020,0.01333,1
ROUGE-SU4,TEDTALK1959,TEXTRANK.TXT,0.09796,0.05161,0.06761,1
ROUGE-L,TEDTALK1958,TEXTRANK.TXT,0.19643,0.17460,0.18487,1
ROUGE-1,TEDTALK1958,TEXTRANK.TXT,0.31081,0.25000,0.27711,1
ROUGE-2,TEDTALK1958,TEXTRANK.TXT,0.04225,0.03333,0.03727,1
ROUGE-SU4,TEDTALK1958,TEXTRANK.TXT,0.11176,0.08636,0.09744,1
ROUGE-L,TEDTALK810,TEXTRANK.TXT,0.12500,0.05814,0.07937,1
ROUGE-1,TEDTALK810,TEXTRANK.TXT,0.18750,0.07031,0.10227,1
ROUGE-2,TEDTALK810,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
